source_id,source_project,source_schema,source_object_type,target_catalog,target_schema,target_table,target_fqn,layer,layer_subcategory,rationale
OLTP:Application.DetermineCustomerAccess,OLTP,Application,TVF_INLINE,wwi_<env>,bronze,application__determinecustomeraccess,wwi_<env>.bronze.application__determinecustomeraccess,BRONZE,,Default mapping for OLTP.TVF_INLINE objects based on existing schema-to-layer convention.
OLTP:Application.Cities,OLTP,Application,TABLE,wwi_<env>,bronze,application__cities,wwi_<env>.bronze.application__cities,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.Cities_Archive,OLTP,Application,TABLE,wwi_<env>,bronze,application__cities_archive,wwi_<env>.bronze.application__cities_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.Countries,OLTP,Application,TABLE,wwi_<env>,bronze,application__countries,wwi_<env>.bronze.application__countries,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.Countries_Archive,OLTP,Application,TABLE,wwi_<env>,bronze,application__countries_archive,wwi_<env>.bronze.application__countries_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.DeliveryMethods,OLTP,Application,TABLE,wwi_<env>,bronze,application__deliverymethods,wwi_<env>.bronze.application__deliverymethods,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.DeliveryMethods_Archive,OLTP,Application,TABLE,wwi_<env>,bronze,application__deliverymethods_archive,wwi_<env>.bronze.application__deliverymethods_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.Logs,OLTP,Application,TABLE,wwi_<env>,bronze,application__logs,wwi_<env>.bronze.application__logs,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.PaymentMethods,OLTP,Application,TABLE,wwi_<env>,bronze,application__paymentmethods,wwi_<env>.bronze.application__paymentmethods,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.PaymentMethods_Archive,OLTP,Application,TABLE,wwi_<env>,bronze,application__paymentmethods_archive,wwi_<env>.bronze.application__paymentmethods_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.People,OLTP,Application,TABLE,wwi_<env>,bronze,application__people,wwi_<env>.bronze.application__people,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.People_Archive,OLTP,Application,TABLE,wwi_<env>,bronze,application__people_archive,wwi_<env>.bronze.application__people_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.StateProvinces,OLTP,Application,TABLE,wwi_<env>,bronze,application__stateprovinces,wwi_<env>.bronze.application__stateprovinces,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.StateProvinces_Archive,OLTP,Application,TABLE,wwi_<env>,bronze,application__stateprovinces_archive,wwi_<env>.bronze.application__stateprovinces_archive,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
OLTP:Application.SystemParameters,OLTP,Application,TABLE,wwi_<env>,bronze,application__systemparameters,wwi_<env>.bronze.application__systemparameters,BRONZE,,Raw OLTP entity — landed as-is in Bronze via CDC/batch ingestion; no transformation applied at landing time.
