id,name,schema,object_type,source_project,medallion_layer,classification,overall_score,sql_dialect,procedural_logic,ssis_control_flow,ssis_data_flow,dependency_criticality,ordering_constraints,data_type_risk,performance_risk,security_risk,operational_scheduling,testing_complexity,rollback_complexity,direct_dependents,transitive_dependents,top_risk_factors,recommended_test_depth
OLTP:Application.Cities,Cities,Application,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,2.0,4,0,0,0,5,0,5,3,0,0,2,5,17,25,FOR\s+SYSTEM_TIME(+4); fan_in=17(critical); geography(+5); TEMPORAL(+3); derived_avg=2.5; scd2_history_state(+3),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Application.StateProvinces,StateProvinces,Application,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,2.0,4,0,0,0,5,0,5,3,0,0,2,5,13,20,FOR\s+SYSTEM_TIME(+4); fan_in=13(critical); geography(+5); TEMPORAL(+3); derived_avg=2.5; scd2_history_state(+3),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Integration.GetCityUpdates,GetCityUpdates,Integration,PROCEDURE,OLTP,BRONZE,MANUAL_REDESIGN,2.0,4,5,0,0,0,1,5,2,2,0,2,3,0,0,FOR\s+SYSTEM_TIME(+4); CURSOR(+5); WHILE(+3); #\w+(+2); fan_out=6(broad_upstream_reads); geography(+5),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Purchasing.Suppliers,Suppliers,Purchasing,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,2.0,4,0,0,0,5,0,5,3,0,0,2,5,12,17,FOR\s+SYSTEM_TIME(+4); fan_in=12(critical); geography(+5); TEMPORAL(+3); derived_avg=2.5; scd2_history_state(+3),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Sales.Customers,Customers,Sales,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,2.0,4,0,0,0,5,0,5,3,0,0,2,5,24,31,FOR\s+SYSTEM_TIME(+4); fan_in=24(critical); geography(+5); TEMPORAL(+3); derived_avg=2.5; scd2_history_state(+3),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Application.Countries,Countries,Application,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,1.92,4,0,0,0,4,0,5,3,0,0,2,5,6,11,FOR\s+SYSTEM_TIME(+4); fan_in=6(high); geography(+5); TEMPORAL(+3); derived_avg=2.3; scd2_history_state(+3),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Integration.GetStockItemUpdates,GetStockItemUpdates,Integration,PROCEDURE,OLTP,BRONZE,MANUAL_REDESIGN,1.67,5,5,0,0,0,0,1,2,2,0,2,3,0,0,FOR\s+SYSTEM_TIME(+4); ISNULL\s*\((+1); CURSOR(+5); WHILE(+3); #\w+(+2); nvarchar\(max\)(+1),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Application.Configuration_EnableInMemory,Configuration_EnableInMemory,Application,PROCEDURE,OLTP,BRONZE,MANUAL_REDESIGN,1.58,5,4,0,0,1,1,1,0,2,0,2,3,1,1,MERGE(+3); FOR\s+SYSTEM_TIME(+4); APPLY(+3); IDENTITY\s*\((+1); WHILE(+3); RAISERROR(+1),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Application.DeliveryMethods,DeliveryMethods,Application,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,1.58,4,0,0,0,5,0,0,3,0,0,2,5,11,11,FOR\s+SYSTEM_TIME(+4); fan_in=11(critical); TEMPORAL(+3); derived_avg=1.7; scd2_history_state(+3); temporal_history_table(+2),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Application.People,People,Application,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,1.58,4,0,0,0,5,0,0,3,0,0,2,5,27,39,FOR\s+SYSTEM_TIME(+4); fan_in=27(critical); TEMPORAL(+3); derived_avg=1.7; scd2_history_state(+3); temporal_history_table(+2),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Application.TransactionTypes,TransactionTypes,Application,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,1.58,4,0,0,0,5,0,0,3,0,0,2,5,10,16,FOR\s+SYSTEM_TIME(+4); fan_in=10(critical); TEMPORAL(+3); derived_avg=1.7; scd2_history_state(+3); temporal_history_table(+2),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Integration.GetEmployeeUpdates,GetEmployeeUpdates,Integration,PROCEDURE,OLTP,BRONZE,MANUAL_REDESIGN,1.58,4,5,0,0,0,0,1,2,2,0,2,3,0,0,FOR\s+SYSTEM_TIME(+4); CURSOR(+5); WHILE(+3); #\w+(+2); nvarchar\(max\)(+1); row_by_row_cursor(+2),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Sales.BuyingGroups,BuyingGroups,Sales,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,1.58,4,0,0,0,5,0,0,3,0,0,2,5,8,14,FOR\s+SYSTEM_TIME(+4); fan_in=8(critical); TEMPORAL(+3); derived_avg=1.7; scd2_history_state(+3); temporal_history_table(+2),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Sales.CustomerCategories,CustomerCategories,Sales,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,1.58,4,0,0,0,5,0,0,3,0,0,2,5,8,13,FOR\s+SYSTEM_TIME(+4); fan_in=8(critical); TEMPORAL(+3); derived_avg=1.7; scd2_history_state(+3); temporal_history_table(+2),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Warehouse.PackageTypes,PackageTypes,Warehouse,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,1.58,4,0,0,0,5,0,0,3,0,0,2,5,11,16,FOR\s+SYSTEM_TIME(+4); fan_in=11(critical); TEMPORAL(+3); derived_avg=1.7; scd2_history_state(+3); temporal_history_table(+2),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Warehouse.StockItems,StockItems,Warehouse,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,1.58,4,0,0,0,5,0,0,3,0,0,2,5,23,29,FOR\s+SYSTEM_TIME(+4); fan_in=23(critical); TEMPORAL(+3); derived_avg=1.7; scd2_history_state(+3); temporal_history_table(+2),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Application.PaymentMethods,PaymentMethods,Application,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,1.5,4,0,0,0,4,0,0,3,0,0,2,5,7,11,FOR\s+SYSTEM_TIME(+4); fan_in=7(high); TEMPORAL(+3); derived_avg=1.5; scd2_history_state(+3); temporal_history_table(+2),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:DataLoadSimulation.UpdateCustomFields,UpdateCustomFields,DataLoadSimulation,PROCEDURE,OLTP,BRONZE,MANUAL_REDESIGN,1.5,1,5,0,0,1,1,1,2,2,0,2,3,1,4,TOP\s*\((+1); CURSOR(+5); WHILE(+3); RAISERROR(+1); fan_in=1(low); fan_out=5(broad_upstream_reads),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Integration.GetCustomerUpdates,GetCustomerUpdates,Integration,PROCEDURE,OLTP,BRONZE,MANUAL_REDESIGN,1.5,4,5,0,0,0,1,0,2,2,0,1,3,0,0,FOR\s+SYSTEM_TIME(+4); CURSOR(+5); WHILE(+3); #\w+(+2); fan_out=7(broad_upstream_reads); row_by_row_cursor(+2),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Integration.GetSupplierUpdates,GetSupplierUpdates,Integration,PROCEDURE,OLTP,BRONZE,MANUAL_REDESIGN,1.5,4,5,0,0,0,1,0,2,2,0,1,3,0,0,FOR\s+SYSTEM_TIME(+4); CURSOR(+5); WHILE(+3); #\w+(+2); fan_out=5(broad_upstream_reads); row_by_row_cursor(+2),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Purchasing.SupplierCategories,SupplierCategories,Purchasing,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,1.5,4,0,0,0,4,0,0,3,0,0,2,5,6,6,FOR\s+SYSTEM_TIME(+4); fan_in=6(high); TEMPORAL(+3); derived_avg=1.5; scd2_history_state(+3); temporal_history_table(+2),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Warehouse.ColdRoomTemperatures,ColdRoomTemperatures,Warehouse,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,1.5,5,0,0,0,4,0,0,4,0,0,1,4,4,10,FOR\s+SYSTEM_TIME(+4); IDENTITY\s*\((+1); fan_in=4(high); MEMORY_OPTIMIZED(+4); derived_avg=1.3; scd2_history_state(+3),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Warehouse.Colors,Colors,Warehouse,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,1.5,4,0,0,0,4,0,0,3,0,0,2,5,7,12,FOR\s+SYSTEM_TIME(+4); fan_in=7(high); TEMPORAL(+3); derived_avg=1.5; scd2_history_state(+3); temporal_history_table(+2),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Warehouse.StockGroups,StockGroups,Warehouse,TABLE,OLTP,BRONZE,MANUAL_REDESIGN,1.5,4,0,0,0,4,0,0,3,0,0,2,5,5,9,FOR\s+SYSTEM_TIME(+4); fan_in=5(high); TEMPORAL(+3); derived_avg=1.5; scd2_history_state(+3); temporal_history_table(+2),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Integration.GetPaymentMethodUpdates,GetPaymentMethodUpdates,Integration,PROCEDURE,OLTP,BRONZE,MANUAL_REDESIGN,1.42,4,5,0,0,0,0,0,2,2,0,1,3,0,0,FOR\s+SYSTEM_TIME(+4); CURSOR(+5); WHILE(+3); #\w+(+2); row_by_row_cursor(+2); EXECUTE\s+AS\s+OWNER(+2),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:Integration.GetTransactionTypeUpdates,GetTransactionTypeUpdates,Integration,PROCEDURE,OLTP,BRONZE,MANUAL_REDESIGN,1.42,4,5,0,0,0,0,0,2,2,0,1,3,0,0,FOR\s+SYSTEM_TIME(+4); CURSOR(+5); WHILE(+3); #\w+(+2); row_by_row_cursor(+2); EXECUTE\s+AS\s+OWNER(+2),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
DW:Integration.MigrateStagedMovementData,MigrateStagedMovementData,Integration,PROCEDURE,DW,BRONZE,REWRITE_REQUIRED,1.33,4,0,0,0,1,3,0,0,2,2,1,3,1,23,MERGE(+3); TOP\s*\((+1); fan_in=1(low); watermark_dependent_run_order(+2); fan_out=7(broad_upstream_reads); EXECUTE\s+AS\s+OWNER(+2),"Full regression suite: unit tests per logic branch/condition, golden-record reconciliation against source, edge-case/boundary tests, side-by-side parallel run (Tier 3)"
OLTP:Application.Configuration_DisableInMemory,Configuration_DisableInMemory,Application,PROCEDURE,OLTP,BRONZE,MANUAL_REDESIGN,1.25,5,4,0,0,1,1,1,0,2,0,1,0,1,1,MERGE(+3); FOR\s+SYSTEM_TIME(+4); APPLY(+3); IDENTITY\s*\((+1); WHILE(+3); RAISERROR(+1),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:DataLoadSimulation.AddCustomers,AddCustomers,DataLoadSimulation,PROCEDURE,OLTP,BRONZE,REWRITE_REQUIRED,1.25,1,4,0,0,1,1,1,0,2,0,2,3,1,4,TOP\s*\((+1); WHILE(+3); RAISERROR(+1); fan_in=1(low); fan_out=8(broad_upstream_reads); nvarchar\(max\)(+1),"Full regression suite: unit tests per logic branch/condition, golden-record reconciliation against source, edge-case/boundary tests, side-by-side parallel run (Tier 3)"
OLTP:DataLoadSimulation.ActivateWebsiteLogons,ActivateWebsiteLogons,DataLoadSimulation,PROCEDURE,OLTP,BRONZE,REWRITE_REQUIRED,1.17,1,4,0,0,1,0,1,0,2,0,2,3,1,4,TOP\s*\((+1); WHILE(+3); RAISERROR(+1); fan_in=1(low); nvarchar\(max\)(+1); EXECUTE\s+AS\s+OWNER(+2),"Full regression suite: unit tests per logic branch/condition, golden-record reconciliation against source, edge-case/boundary tests, side-by-side parallel run (Tier 3)"
OLTP:DataLoadSimulation.ChangePasswords,ChangePasswords,DataLoadSimulation,PROCEDURE,OLTP,BRONZE,REWRITE_REQUIRED,1.17,1,4,0,0,1,0,1,0,2,0,2,3,1,4,TOP\s*\((+1); WHILE(+3); RAISERROR(+1); fan_in=1(low); nvarchar\(max\)(+1); EXECUTE\s+AS\s+OWNER(+2),"Full regression suite: unit tests per logic branch/condition, golden-record reconciliation against source, edge-case/boundary tests, side-by-side parallel run (Tier 3)"
OLTP:DataLoadSimulation.PickStockForCustomerOrders,PickStockForCustomerOrders,DataLoadSimulation,PROCEDURE,OLTP,BRONZE,MANUAL_REDESIGN,1.17,4,5,0,0,1,1,0,2,0,0,1,0,1,4,MERGE(+3); TOP\s*\((+1); CURSOR(+5); WHILE(+3); fan_in=1(low); fan_out=5(broad_upstream_reads),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
OLTP:DataLoadSimulation.RecordInvoiceDeliveries,RecordInvoiceDeliveries,DataLoadSimulation,PROCEDURE,OLTP,BRONZE,MANUAL_REDESIGN,1.17,1,5,0,0,1,1,1,2,2,0,1,0,1,4,TOP\s*\((+1); CURSOR(+5); WHILE(+3); fan_in=1(low); fan_out=5(broad_upstream_reads); nvarchar\(max\)(+1),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
DW:Dimension.City,City,Dimension,TABLE,DW,SILVER,MANUAL_REDESIGN,1.17,0,0,0,0,4,0,5,0,0,0,2,3,5,33,fan_in=5(high); geography(+5); derived_avg=2.0; scd2_history_state(+3),"Full parallel-run validation across at least one complete ETL cycle, manual functional sign-off, extended UAT, rollback rehearsal (Tier 4)"
